sb89;null;sb259;[sb260,2156.0,87.0,19.0,12.0]
sb262;null;sb260;[sb89,2725.0,0.0,20.0,42.0]
sb263;null;sb89;[sb262,2187.0,87.0,48.0,27.0]
sb264;null;sb262;[sb263,2214.0,73.0,47.0,46.0]
null;null;sb263;[sb264,2261.0,73.0,45.0,23.0]
sb266;sb282;sb248;[sb265,2306.0,61.0,45.0,15.0]
sb267;null;sb265;[sb266,2351.0,65.0,45.0,48.0]
sb268;null;sb266;[sb267,2396.0,47.0,34.0,39.0]
sb269;null;sb267;[sb268,2430.0,48.0,22.0,25.0]
sb270;null;sb268;[sb269,2452.0,48.0,37.0,18.0]
sb271;null;sb269;[sb270,2489.0,79.0,23.0,15.0]
sb272;null;sb270;[sb271,2512.0,80.0,42.0,24.0]
sb273;null;sb271;[sb272,2554.0,80.0,24.0,35.0]
sb274;null;sb272;[sb273,2578.0,80.0,21.0,30.0]
sb275;null;sb273;[sb274,2599.0,78.0,33.0,21.0]
sb276;null;sb274;[sb275,2632.0,88.0,22.0,28.0]
sb277;null;sb275;[sb276,2654.0,88.0,31.0,14.0]
sb278;null;sb276;[sb277,2685.0,76.0,12.0,47.0]
sb279;null;sb277;[sb278,2697.0,72.0,13.0,42.0]
sb280;null;sb278;[sb279,2710.0,81.0,39.0,43.0]
sb281;null;sb279;[sb280,2749.0,81.0,31.0,22.0]
null;null;sb280;[sb281,2780.0,49.0,30.0,18.0]
sb283;sb299;sb265;[sb282,2810.0,81.0,44.0,30.0]
sb284;null;sb282;[sb283,2854.0,80.0,13.0,15.0]
sb285;null;sb283;[sb284,2867.0,85.0,30.0,21.0]
sb286;null;sb284;[sb285,2897.0,85.0,13.0,33.0]
sb287;null;sb285;[sb286,0.0,93.0,36.0,41.0]
sb288;null;sb286;[sb287,36.0,93.0,42.0,21.0]
sb289;null;sb287;[sb288,78.0,105.0,28.0,36.0]
sb290;null;sb288;[sb289,106.0,128.0,33.0,37.0]
sb291;null;sb289;[sb290,139.0,128.0,16.0,27.0]
sb292;null;sb290;[sb291,155.0,128.0,28.0,43.0]
sb293;null;sb291;[sb292,183.0,98.0,24.0,39.0]
sb294;null;sb292;[sb293,207.0,94.0,43.0,19.0]
sb295;null;sb293;[sb294,250.0,108.0,17.0,26.0]
sb296;null;sb294;[sb295,267.0,108.0,43.0,13.0]
sb297;null;sb295;[sb296,310.0,93.0,16.0,27.0]
sb298;null;sb296;[sb297,326.0,100.0,38.0,31.0]
null;null;sb297;[sb298,364.0,117.0,33.0,40.0]
null;null;sb282;[sb299,397.0,117.0,13.0,13.0]
